text,label
Quite disappointing to see this missing. It's standard elsewhere.,1
Can't believe this isn't standard. It's causing us issues.,1
We've been begging for this for years. Completely ignored.,0
This is absolutely infuriating. How is this not a priority?,0
"Honestly, Regarding inventory tracking: Can't believe this isn't standard. It's causing us issues. Please address this.",1
Completely unacceptable for software at this price point. We need custom reporting.,0
We're switching to the competition if this isn't addressed immediately.,0
I find it appalling that this basic feature doesn't exist.,0
This is embarrassing. Even free tools have this functionality.,0
I find it appalling that this basic feature doesn't exist.,0
Such a basic function and it's not supported. Frustrating. We need batch processing. Please address this.,1
I'm frustrated that this hasn't been prioritized. Please address this.,1
Disappointed that this still isn't available. We need this.,1
Regarding mobile functionality: This is pretty basic functionality that we expected to have. Please address this.,1
Regarding inventory tracking: Really surprised this isn't supported. It's a basic function.,1
This should be a basic feature. Other platforms handle it easily.,1
This limitation is affecting our daily operations.,1
I can't believe this still isn't fixed after all these years. Absolutely unacceptable.,0
Regarding mobile functionality: How many more years do we have to wait? This is insulting.,0
Quite disappointing to see this missing. It's standard elsewhere.,1
"Look, How many more years do we have to wait? This is insulting.",0
Such a basic function and it's not supported. Frustrating.,1
I'm frustrated that this hasn't been prioritized.,1
Really surprised this isn't supported. It's a basic function. We need inventory tracking.,1
It's been YEARS and still nothing. This is ridiculous. We need API integration.,0
This is embarrassing. Even free tools have this functionality. We need bulk editing.,0
This is absolutely infuriating. How is this not a priority?,0
Regarding search functionality: This is pretty basic functionality that we expected to have.,1
Regarding multiple delivery addresses: I can't believe this still isn't fixed after all these years. Absolutely unacceptable. This is important.,0
Not having this is causing significant problems for our team.,1
"Honestly, It's been YEARS and still nothing. This is ridiculous.",0
"As a paying customer, Not having this is causing significant problems for our team.",1
Regarding custom reporting: Fix this or we're cancelling. Final warning.,0
Disappointed that this still isn't available. We need this. This is important.,1
We've been begging for this for years. Completely ignored.,0
Regarding batch processing: Completely unacceptable for software at this price point.,0
"Honestly, This limitation is affecting our daily operations. This is important.",1
"As a paying customer, We're switching to the competition if this isn't addressed immediately. This is important.",0
Fix this or we're cancelling. Final warning. We need export options.,0
This should be a basic feature. Other platforms handle it easily.,1
